data;

param m := 7;
param n := 10;

param c :=
        1   4
        2   7
	3   8
	4   4
	5   6
	6   9
	7   10
	8   10
	9   8
	10  6;

param a (tr): 1 2 3 4 5 6 7 :=
        1     0 1 0 1 0 0 0
        2     1 1 0 0 0 1 0
        3     0 0 0 1 1 0 1
        4     0 1 0 0 1 0 1
        5     1 0 1 1 0 0 0
        6     1 0 0 0 0 0 1
        7     1 0 0 1 1 0 1
        8     0 1 1 1 0 1 1
        9     1 0 1 1 0 1 0
        10    0 0 0 1 1 0 1
;

param b:=
	1	450
	2   	720
	3  	580
	4  	460
	5   	660
	6   	390
	7	510
	8	1000
	9	830
	10	680;

param B := 10;

