data;

param m := 5;
param n := 12;

param c :=
      	1	7
	2	9	
	3  	12
	4  	3
	5	4
	6	4
	7	5
	8	11
	9	8
	10	6
	11	7
	12	16
;

param a (tr): 1 2 3 4 5 :=
        1     1 0 1 0 0
        2     0 1 1 1 0
        3     1 1 0 0 0
        4     0 0 0 1 1
        5     1 0 0 0 1
        6     0 1 1 0 1
        7     1 0 1 1 0
        8     1 0 0 1 0
        9     0 1 0 0 1
        10    0 0 1 1 1
        11    0 1 0 0 1
        12    0 1 0 1 1
;

param b := 
	1	15
	2   	39	
	3  	26
	4  	31
	5   	34
	6   	24
	7	51
	8	19
	9	18
	10	36
	11	41
	12	34
;

param Q := 120;

